Username,gender,Retweet Count,Follower Count,max_jaccard_score
jonespatricia,unknown,5,7512,0.0909
nmullen,unknown,76,5718,0.1
angela61,unknown,0,1363,0.0714
millerbeth,unknown,96,64,0.1429
zaguilar,unknown,84,3717,0.125
pwheeler,unknown,66,3129,0.1176
wagnerjulie,unknown,59,8707,0.1053
samantha50,unknown,65,9715,0.0769
johncooper,unknown,9,7339,0.1333
pwright,unknown,40,7451,0.125
gberg,unknown,89,8548,0.0909
jessica47,unknown,77,2499,0.1667
michelledavis,unknown,94,1069,0.1111
osbornematthew,unknown,86,6088,0.1765
davidnovak,unknown,5,3316,0.1
crystaladams,unknown,80,7718,0.0909
zrobinson,unknown,87,5799,0.1429
xmeyer,unknown,42,9788,0.0833
barneschad,unknown,9,5018,0.1429
angel39,unknown,43,4154,0.12
jonathan18,unknown,26,8327,0.0909
durhamdavid,unknown,30,4361,0.1034
sharonlynch,unknown,1,7269,0.1
johnsonchristine,unknown,85,8720,0.0909
allisonbianca,unknown,97,7948,0.0769
michele12,unknown,96,9110,0.0714
ehudson,unknown,11,6907,0.1429
rhoward,unknown,91,9804,0.1429
robert64,unknown,74,4132,0.1111
amandathornton,unknown,52,4941,0.1429
david45,unknown,53,3665,0.1667
qobrien,unknown,90,8228,0.1333
rushmichelle,unknown,1,2485,0.1176
brandi34,unknown,81,5892,0.1111
jennifer41,unknown,26,3744,0.0909
lsimmons,unknown,41,7160,0.1429
anthonyfuentes,unknown,18,7476,0.0625
lynn97,unknown,10,2654,0.0952
kristine91,unknown,91,9534,0.125
carterjulie,unknown,52,2403,0.1429
steven74,unknown,50,3974,0.1154
denise38,unknown,62,350,0.0714
leah90,unknown,88,9343,0.087
jennifersilva,unknown,94,5947,0.0833
jessica84,unknown,100,9896,0.125
elewis,unknown,27,5684,0.125
newmanalbert,unknown,26,3220,0.1
fernandoharris,unknown,9,9439,0.1111
tatecasey,unknown,65,64,0.1538
mendezbriana,unknown,20,374,0.1176
ryanyoung,unknown,60,1876,0.12
leemorgan,unknown,9,6840,0.1111
andrew20,unknown,6,2489,0.1111
katrinakelly,unknown,26,5774,0.0714
cruzlisa,unknown,50,7328,0.1
yhunt,unknown,38,9662,0.1053
rebeccatorres,unknown,36,478,0.1429
williamlyons,unknown,2,5210,0.1538
jeffreyrush,unknown,78,7355,0.1429
donnatorres,unknown,80,4095,0.1111
theresa28,unknown,84,9405,0.1333
sean91,unknown,17,9879,0.1176
hickskathryn,unknown,17,3177,0.0833
jonathan28,unknown,51,1775,0.0909
matthew82,unknown,96,9955,0.0741
browntiffany,unknown,14,5138,0.1
amy87,unknown,45,154,0.0909
ericarodriguez,unknown,75,9566,0.1
nancyshaw,unknown,97,7949,0.125
gholt,unknown,48,1374,0.0833
yduran,unknown,56,8996,0.1538
ellisfaith,unknown,62,2255,0.0833
robert67,unknown,83,968,0.1333
sscott,unknown,0,7240,0.1111
blozano,unknown,57,9273,0.0952
virginia30,unknown,16,9338,0.1
margaretjohnson,unknown,83,1950,0.125
sarah61,unknown,30,5846,0.1333
dalerogers,unknown,11,1933,0.0833
otaylor,unknown,48,5086,0.0833
dustinburke,unknown,45,9474,0.1111
schmidttiffany,unknown,61,5002,0.0741
edwardchen,unknown,12,7350,0.1053
maryholmes,unknown,38,2713,0.0952
daviddyer,unknown,41,6084,0.0909
imatthews,unknown,40,4716,0.08
tom47,unknown,46,7282,0.1111
lisa32,unknown,81,6534,0.0952
tammyowens,unknown,11,3580,0.1429
kristinalewis,unknown,70,8920,0.1111
whitecaleb,unknown,98,108,0.1429
harold95,unknown,67,3889,0.15
jenniferross,unknown,14,3439,0.1333
contrerasholly,unknown,43,9513,0.0769
pamela53,unknown,45,650,0.125
sroberson,unknown,49,4275,0.1053
donald55,unknown,37,9297,0.0833
adrianmorgan,unknown,96,6834,0.1111
jessica02,unknown,84,2808,0.1111
kerry13,unknown,97,3787,0.1176
erinsutton,unknown,57,966,0.087
palmeralexander,unknown,19,4782,0.1
torreskenneth,unknown,50,1823,0.0769
robert04,unknown,86,7046,0.0714
shelly38,unknown,95,882,0.1
gburns,unknown,68,3433,0.1333
combsamanda,unknown,37,3843,0.0769
mcclurechristopher,unknown,62,6270,0.1333
wwagner,unknown,2,9951,0.0833
adam51,unknown,9,1624,0.1111
hgarcia,unknown,94,748,0.1
morselinda,unknown,44,1970,0.1
brianmorales,unknown,28,7657,0.0667
williamsrichard,unknown,92,2511,0.125
parkstimothy,unknown,54,1951,0.0909
lucasjeffrey,unknown,42,8322,0.1111
jshaffer,unknown,2,7422,0.1333
tylerlee,unknown,82,8967,0.1176
hhays,unknown,69,8104,0.0714
rjones,unknown,6,7570,0.1304
lisacole,unknown,98,6763,0.1111
teresawiggins,unknown,44,4370,0.1818
dtate,unknown,16,8848,0.0714
reginacarroll,unknown,40,8803,0.1
whitneywright,unknown,78,7874,0.08
bmorgan,unknown,27,9692,0.1429
johnsexton,unknown,16,6880,0.0769
raymondfox,unknown,53,6532,0.1
royjohn,unknown,20,3412,0.0833
greencatherine,unknown,90,2175,0.0741
marshrobin,unknown,35,5428,0.1
juanramirez,unknown,54,6672,0.1071
benjaminmclaughlin,unknown,83,7643,0.1429
glenn78,unknown,47,7881,0.125
lisarussell,unknown,41,434,0.1111
carlaadams,unknown,75,7673,0.1
ywright,unknown,83,1779,0.1333
dperry,unknown,40,3770,0.1111
fernandoortiz,unknown,5,7684,0.0741
miguel57,unknown,66,2133,0.0909
richard97,unknown,63,0,0.1111
osbornejulie,unknown,47,7350,0.0588
michael10,unknown,88,8036,0.15
michaelwilliams,unknown,11,3292,0.125
catherinegonzalez,unknown,25,1152,0.1333
ejoseph,unknown,21,6784,0.0769
bmartinez,unknown,37,3731,0.1111
simpsonjennifer,unknown,41,6092,0.0909
erica41,unknown,81,6706,0.0833
clarknathaniel,unknown,35,9590,0.0833
derrickdavis,unknown,85,3663,0.0909
rpacheco,unknown,71,8705,0.125
crawfordstacey,unknown,60,3353,0.12
alison10,unknown,7,8896,0.125
xcarr,unknown,37,4927,0.1111
johnsonlauren,unknown,40,84,0.0909
conniemills,unknown,75,1326,0.1429
jamesmunoz,unknown,33,3435,0.1111
jaclynwilson,unknown,89,4253,0.125
amayo,unknown,97,8549,0.087
clove,unknown,50,9195,0.1429
toddwade,unknown,93,9342,0.1053
heatherblair,unknown,35,4807,0.0909
john29,unknown,70,1807,0.0714
karen51,unknown,12,1537,0.1
john21,unknown,89,2821,0.15
samanthalopez,unknown,83,4913,0.1
kathycox,unknown,27,4341,0.1111
larrybarton,unknown,78,2101,0.0833
tkaufman,unknown,22,6499,0.1333
tracybowers,unknown,35,9406,0.1
rogersjames,unknown,47,5791,0.0667
farrellpatrick,unknown,85,1999,0.0769
bakertammy,unknown,0,8569,0.1176
kellihoward,unknown,66,4574,0.1176
brian72,unknown,16,51,0.0909
rrodriguez,unknown,89,7913,0.1429
danielbutler,unknown,43,1924,0.1429
julie65,unknown,87,4529,0.1304
tuckermelissa,unknown,24,5904,0.1818
whitney50,unknown,44,819,0.1176
diana59,unknown,96,5736,0.0952
cunninghamshannon,unknown,30,766,0.2222
ugonzales,unknown,9,3644,0.1429
jdavis,unknown,60,4850,0.1667
pamela64,unknown,19,4723,0.1176
charlessmith,unknown,100,5327,0.1
lisagonzalez,unknown,96,7113,0.0714
jonathan90,unknown,92,1280,0.0833
aprildaugherty,unknown,73,4470,0.1111
christianherring,unknown,85,7538,0.0769
smithjorge,unknown,83,6875,0.0625
michaelalexander,unknown,42,8903,0.1
kristenreed,unknown,53,3808,0.1
ustevens,unknown,40,2109,0.125
ustephenson,unknown,11,7102,0.125
wrightrebecca,unknown,66,5667,0.1071
kristin58,unknown,54,6152,0.1111
agibson,unknown,51,8295,0.1176
debramitchell,unknown,99,9375,0.1111
jenkinskrista,unknown,82,762,0.1538
adam36,unknown,93,3959,0.0909
donna80,unknown,62,4570,0.0952
grahamsusan,unknown,8,1436,0.1333
youngronald,unknown,32,6981,0.0769
bryanruiz,unknown,35,5830,0.1333
emily29,unknown,24,6008,0.0909
alexanderbooker,unknown,96,1966,0.1429
dwarren,unknown,79,554,0.1818
ashley51,unknown,69,1131,0.1818
jonestina,unknown,57,185,0.0909
sanchezthomas,unknown,62,7998,0.1333
sthompson,unknown,21,1010,0.1111
mullinsdustin,unknown,8,2146,0.0909
gescobar,unknown,21,9108,0.1111
juarezthomas,unknown,37,4056,0.1667
obriensarah,unknown,50,8246,0.1333
pinedatimothy,unknown,46,9038,0.125
griffithgregory,unknown,57,2538,0.1111
erica89,unknown,65,797,0.1
kevin11,unknown,41,3291,0.1429
dfigueroa,unknown,3,7752,0.0714
michael84,unknown,11,7864,0.1111
ashley31,unknown,55,6977,0.1111
smithwhitney,unknown,59,4881,0.1111
maria75,unknown,3,3830,0.0952
jennifer30,unknown,49,9515,0.1111
clee,unknown,52,8159,0.1176
rebeccacarroll,unknown,2,9878,0.2222
davidbarnett,unknown,56,4896,0.1333
michaelnicholson,unknown,6,4841,0.1
elizabethhenry,unknown,59,9309,0.1
andrew53,unknown,55,8174,0.1429
jonesshawn,unknown,35,7808,0.1111
zwalters,unknown,51,9704,0.0909
sbranch,unknown,34,3272,0.0909
troberts,unknown,10,6604,0.0833
ohensley,unknown,99,79,0.0952
csheppard,unknown,3,2685,0.125
lisa50,unknown,6,6274,0.1111
mario77,unknown,85,4606,0.0625
dillongonzalez,unknown,16,9592,0.1176
gsullivan,unknown,77,7887,0.1429
xmoore,unknown,11,7714,0.125
costamatthew,unknown,9,1842,0.2
melinda26,unknown,90,189,0.1333
drichards,unknown,77,7886,0.125
hillkathy,unknown,49,9024,0.1429
xcurry,unknown,97,6567,0.0833
taylorwilliamson,unknown,90,271,0.1333
wbaker,unknown,4,8587,0.1429
robert22,unknown,58,8804,0.1111
msullivan,unknown,27,726,0.087
williamselizabeth,unknown,70,6811,0.0769
rossjeremy,unknown,68,967,0.1111
xclark,unknown,90,4914,0.125
brownbrian,unknown,88,8122,0.1429
gwilkins,unknown,37,9734,0.1111
alexismyers,unknown,35,3434,0.0769
davidsantana,unknown,24,3506,0.1111
jamescarpenter,unknown,9,9804,0.0952
richard66,unknown,60,2084,0.1111
amullins,unknown,6,118,0.1111
sandrataylor,unknown,82,5459,0.0625
karenmeyer,unknown,80,7020,0.1
jesse74,unknown,91,9965,0.1
nnelson,unknown,55,6510,0.1667
kconrad,unknown,100,5003,0.1364
dfriedman,unknown,67,6814,0.1
kennethrivera,unknown,79,7086,0.1053
dawn12,unknown,25,5168,0.1111
hallchristopher,unknown,22,1158,0.0952
wujohnny,unknown,30,7835,0.1429
ryanmcneil,unknown,73,7293,0.0909
jessicamartin,unknown,32,6059,0.1
gcollins,unknown,13,6755,0.1
lgriffith,unknown,37,6776,0.125
andrewhenry,unknown,20,519,0.1111
mary76,unknown,30,2911,0.1154
spencergary,unknown,59,710,0.087
drandolph,unknown,61,3583,0.0952
blaircarolyn,unknown,61,2479,0.0588
hcampbell,unknown,5,1511,0.1667
rebeccacarr,unknown,88,4138,0.1
ijordan,unknown,37,4572,0.1111
kevin13,unknown,61,2076,0.0952
johncarlson,unknown,67,6885,0.0833
james20,unknown,100,37,0.1176
michaelstokes,unknown,13,5794,0.1053
lopezpamela,unknown,39,5270,0.0952
donnaford,unknown,13,754,0.1053
millerharold,unknown,11,1947,0.1429
thomasjeffery,unknown,21,3549,0.1538
jeremy56,unknown,11,6180,0.1333
paul25,unknown,90,3539,0.0667
graywilliam,unknown,3,8079,0.1333
ymcbride,unknown,46,5114,0.1176
dball,unknown,17,6079,0.069
carrollmatthew,unknown,32,6957,0.1111
christopheradams,unknown,89,3415,0.0909
jenkinstanya,unknown,85,9030,0.0909
wanda14,unknown,29,6416,0.1333
nmorse,unknown,88,7542,0.1176
jenna96,unknown,5,5853,0.0769
josephcervantes,unknown,12,7585,0.0909
jeffreyharris,unknown,8,1704,0.0714
amber72,unknown,100,2095,0.1111
eric67,unknown,56,5250,0.125
jacksonrobert,unknown,9,5639,0.1667
vanessa97,unknown,84,170,0.087
devin11,unknown,63,8144,0.0909
wongkathleen,unknown,29,5888,0.125
qwong,unknown,66,216,0.0909
jorge37,unknown,76,2847,0.1333
jmoyer,unknown,0,4199,0.1111
whiteanne,unknown,48,5128,0.1667
millerkurt,unknown,40,510,0.0769
stevenvalencia,unknown,47,5124,0.0833
lisa62,unknown,45,7775,0.0769
jamesvasquez,unknown,12,5955,0.0833
jimmymartinez,unknown,18,4074,0.0909
romanrobert,unknown,20,1413,0.0952
kdiaz,unknown,24,8584,0.0769
rnovak,unknown,74,8636,0.0909
gary86,unknown,88,1404,0.15
victoriadecker,unknown,20,9949,0.0667
dorothyjenkins,unknown,53,5938,0.1176
lphillips,unknown,92,1075,0.1111
bauerronald,unknown,38,6991,0.125
woodlisa,unknown,38,4986,0.1765
lewisamanda,unknown,43,6008,0.1333
thorntonjennifer,unknown,63,900,0.1111
browndavid,unknown,56,3554,0.1111
guymiller,unknown,32,3041,0.0714
jamie77,unknown,64,4421,0.0909
martinmichael,unknown,80,7658,0.125
tcompton,unknown,99,775,0.0909
browntristan,unknown,8,1760,0.1333
steven79,unknown,0,1388,0.0625
scharles,unknown,22,7338,0.125
kfreeman,unknown,10,9129,0.1429
wilsonkurt,unknown,64,9520,0.1111
heather07,unknown,28,7653,0.1
chad88,unknown,64,1221,0.1333
thomasgary,unknown,15,4886,0.1538
whitneyleon,unknown,31,3205,0.1429
julie56,unknown,29,9823,0.0833
brooke67,unknown,52,1029,0.0952
emoran,unknown,61,5842,0.0909
chelsearamirez,unknown,59,7007,0.1429
isaac06,unknown,23,5164,0.1667
maxwellerin,unknown,96,3092,0.1053
tracy67,unknown,29,3443,0.1176
bakerjessica,unknown,23,1121,0.0909
sherrysmith,unknown,92,6143,0.0741
tnichols,unknown,45,377,0.0833
rachel13,unknown,100,813,0.087
mark38,unknown,0,1746,0.1053
randall98,unknown,97,3632,0.1176
johnsonwesley,unknown,41,2314,0.1818
velezelizabeth,unknown,35,7900,0.125
xthomas,unknown,7,8915,0.1429
brownlisa,unknown,5,5107,0.1538
vhall,unknown,40,8007,0.0909
uspencer,unknown,56,1685,0.125
elizabeth76,unknown,11,587,0.1
james35,unknown,69,1849,0.1429
lawrence16,unknown,23,6516,0.1053
josehickman,unknown,62,4419,0.1667
perrypatrick,unknown,76,6870,0.0833
terryjonathan,unknown,73,1110,0.1111
lopezjessica,unknown,88,9625,0.1111
nelsonmichael,unknown,21,1154,0.0588
randallrandall,unknown,36,9815,0.125
zacharyfernandez,unknown,21,5121,0.0909
rebekah19,unknown,75,1846,0.0952
kgordon,unknown,21,9431,0.125
benitezelizabeth,unknown,7,9235,0.1
fcameron,unknown,54,4374,0.1111
hmiller,unknown,33,1376,0.1333
sandersnichole,unknown,2,7792,0.08
joshuaballard,unknown,30,1738,0.1
brandon20,unknown,75,4618,0.1111
qanderson,unknown,96,7569,0.1
caserobin,unknown,71,2689,0.1333
stevenwatson,unknown,59,9110,0.1538
kristinjohnson,unknown,81,6236,0.0769
michaelfrazier,unknown,23,3406,0.0909
flowerskatherine,unknown,86,4894,0.1429
evanlam,unknown,14,8781,0.0833
cindy10,unknown,63,6197,0.1053
ytaylor,unknown,33,7969,0.125
lisa80,unknown,19,2728,0.1111
josephhart,unknown,15,4218,0.0968
ljordan,unknown,26,5827,0.1
bradfordderek,unknown,53,6537,0.0588
tracy35,unknown,98,2708,0.1538
stephanie01,unknown,35,6263,0.1818
jennifer12,unknown,54,8089,0.1333
schmidtjamie,unknown,30,5364,0.0714
spencer17,unknown,36,3261,0.1176
timothyhunter,unknown,52,7433,0.0714
michael71,unknown,23,4468,0.1333
samuel65,unknown,67,7615,0.125
idavis,unknown,71,4061,0.1333
bdaniel,unknown,95,9431,0.0909
brownbriana,unknown,55,5962,0.0909
valerie57,unknown,45,4484,0.0769
jessicawest,unknown,60,6915,0.0952
brianleach,unknown,10,2666,0.0714
morrissheri,unknown,36,4410,0.1
richmondbrian,unknown,67,7572,0.0968
edwardsanchez,unknown,4,2713,0.125
kayla92,unknown,15,2563,0.1
richard57,unknown,29,6042,0.125
mleonard,unknown,35,2722,0.1111
michelle14,unknown,70,4843,0.1818
kenneth08,unknown,52,1121,0.0833
elizabethmueller,unknown,12,8870,0.1176
lgonzalez,unknown,23,9532,0.1053
perezedward,unknown,37,2699,0.1176
kyle44,unknown,0,5538,0.1
johnsondaniel,unknown,13,1684,0.1053
valerienguyen,unknown,5,8692,0.125
alexandrasmith,unknown,84,1559,0.1176
garciaalan,unknown,4,2036,0.0769
daniel98,unknown,24,8665,0.1176
samanthajohnson,unknown,17,6162,0.1053
briggsjessica,unknown,29,7526,0.0952
daniellehoover,unknown,63,1439,0.0833
mcdonaldjoseph,unknown,11,2444,0.1905
daviddillon,unknown,96,456,0.0833
mullinskimberly,unknown,79,6537,0.0909
ethomas,unknown,24,3872,0.1429
whitneyrangel,unknown,0,5132,0.1176
leeshelby,unknown,22,6667,0.1
lesterpatricia,unknown,15,568,0.1111
heather26,unknown,29,4233,0.1111
larrylewis,unknown,2,8810,0.1429
amberkhan,unknown,72,7657,0.125
irose,unknown,91,6034,0.125
barajaskayla,unknown,90,2772,0.0952
kendra39,unknown,79,5738,0.0952
johnpreston,unknown,82,5701,0.0667
johnnyromero,unknown,90,7646,0.1111
jenniferball,unknown,1,5971,0.0833
danielrogers,unknown,76,5557,0.125
gregory62,unknown,44,624,0.125
jeremy25,unknown,31,905,0.1176
martinezcourtney,unknown,57,4141,0.125
gina53,unknown,78,3866,0.1667
garciarobert,unknown,96,1586,0.1333
jose61,unknown,2,7312,0.0714
williamschristine,unknown,12,8769,0.1429
meganweaver,unknown,24,3287,0.08
kelly70,unknown,14,3786,0.0952
eddielopez,unknown,11,159,0.1111
deborahbanks,unknown,96,271,0.0952
nathansmith,unknown,51,9069,0.0741
diane68,unknown,81,2517,0.0769
ptownsend,unknown,54,3711,0.0769
ydelgado,unknown,43,4052,0.125
xmalone,unknown,50,579,0.0667
michaelmartinez,unknown,76,6355,0.125
ischultz,unknown,45,5841,0.1176
gutierrezrobert,unknown,89,580,0.15
samanthadiaz,unknown,76,6850,0.0833
fanderson,unknown,27,9654,0.1
halexander,unknown,50,789,0.1111
walvarez,unknown,13,2449,0.1176
eespinoza,unknown,22,2525,0.0952
farmerjerry,unknown,99,9001,0.1818
keithhardy,unknown,99,6652,0.125
kellyking,unknown,18,2715,0.1111
patriciamartinez,unknown,67,1794,0.0833
katherine39,unknown,51,6613,0.08
luis04,unknown,57,5143,0.0952
pamela73,unknown,69,9577,0.1111
richard38,unknown,54,2122,0.1111
reginald95,unknown,15,5460,0.125
anne35,unknown,40,5291,0.0667
kaylajackson,unknown,91,833,0.125
kylebrewer,unknown,32,9810,0.1
silvarichard,unknown,41,3802,0.1034
gonzalezsusan,unknown,89,2920,0.0833
fordcheryl,unknown,83,4831,0.125
fernandezholly,unknown,75,6860,0.1429
marymiller,unknown,3,5559,0.087
matthewhenry,unknown,64,1598,0.0952
schultzchristian,unknown,15,9200,0.1333
bbryant,unknown,88,3427,0.0769
mcampbell,unknown,56,8184,0.0833
enelson,unknown,38,4633,0.1111
christophersmith,unknown,24,4428,0.1538
catherine78,unknown,91,1993,0.15
amyholland,unknown,50,8887,0.069
austin13,unknown,9,3748,0.087
traviswiley,unknown,49,8398,0.1111
gomezbruce,unknown,71,7020,0.125
goodwinjoseph,unknown,76,5752,0.1667
darrellwhite,unknown,76,7623,0.1333
uquinn,unknown,31,2898,0.1053
roy17,unknown,4,4490,0.1053
arthurgonzalez,unknown,42,6841,0.1053
stephen44,unknown,26,1751,0.1364
danielsbrandy,unknown,81,2683,0.1111
robert59,unknown,1,5311,0.1176
odonnellbrandy,unknown,40,1251,0.1111
creyes,unknown,80,1524,0.1111
shanebutler,unknown,50,2634,0.1538
ryanevans,unknown,95,9883,0.1667
cpotter,unknown,29,898,0.1667
donald83,unknown,36,2990,0.1
dannyadams,unknown,35,3093,0.1429
daviddunn,unknown,99,5549,0.1364
jim67,unknown,66,7555,0.1111
walter79,unknown,42,5252,0.1538
sotokristen,unknown,14,1766,0.1538
rkennedy,unknown,35,4532,0.0769
jared31,unknown,7,2142,0.1176
alexandra53,unknown,47,1243,0.0769
chadsmall,unknown,58,3643,0.1333
basstyler,unknown,99,9493,0.1053
willie53,unknown,79,974,0.0833
zmontgomery,unknown,64,8777,0.1053
careyjerry,unknown,91,9971,0.1304
dunnmorgan,unknown,41,9860,0.1667
lopezmallory,unknown,32,6242,0.1111
gallagherjohn,unknown,74,1692,0.1
philip29,unknown,9,2782,0.1176
emcmillan,unknown,89,3052,0.0833
collierpatrick,unknown,40,5355,0.0714
smithmichael,unknown,39,371,0.125
gutierreztrevor,unknown,62,9591,0.0769
kimmitchell,unknown,11,2558,0.0952
andrewbrown,unknown,42,565,0.1111
riveramichael,unknown,24,8270,0.2222
rsimmons,unknown,77,7497,0.1111
kgolden,unknown,7,9126,0.1176
bestrada,unknown,89,1899,0.1333
david71,unknown,37,4498,0.125
mfisher,unknown,91,6362,0.1364
bolson,unknown,93,4502,0.1333
shannonrussell,unknown,87,718,0.0833
hickspatricia,unknown,98,2067,0.1
sanchezdavid,unknown,59,3900,0.0833
sherryflores,unknown,71,7950,0.2222
shieldsjason,unknown,46,415,0.0909
adamsdavid,unknown,49,15,0.1
littlekathryn,unknown,33,5445,0.0833
wnunez,unknown,20,3800,0.1111
lauren19,unknown,40,8292,0.1429
qguerrero,unknown,7,2408,0.0909
dhart,unknown,80,6055,0.0909
howarddaniel,unknown,90,2689,0.1429
garciaerin,unknown,85,8541,0.1176
petersbrooke,unknown,17,7406,0.0952
robert55,unknown,53,2418,0.0909
rhonda86,unknown,45,1601,0.0909
jeremywright,unknown,33,9503,0.0741
mwhitehead,unknown,96,7916,0.1
reedsamuel,unknown,37,4349,0.1429
heathergibson,unknown,96,651,0.1
natalie92,unknown,70,8317,0.1111
ibarraangela,unknown,17,8063,0.1176
michaelwheeler,unknown,50,6171,0.1
rachael95,unknown,16,3485,0.1053
adamswilliam,unknown,49,4583,0.0909
raymond03,unknown,8,7610,0.1667
marissa10,unknown,48,4418,0.1429
jpowell,unknown,53,5137,0.0833
smithtodd,unknown,7,9229,0.125
gregory14,unknown,80,8533,0.1333
brentmartinez,unknown,18,430,0.0714
nancy22,unknown,25,4530,0.0952
samanthasolomon,unknown,26,8937,0.08
bushstacy,unknown,26,2152,0.1111
ashley30,unknown,33,3963,0.1
michaelbass,unknown,14,529,0.125
jenniferclark,unknown,24,1766,0.1538
clowe,unknown,73,4242,0.1111
melissa72,unknown,93,2728,0.0769
ykirby,unknown,61,1364,0.125
charles33,unknown,85,3591,0.1333
amberboyd,unknown,90,7824,0.0769
mahoneyleslie,unknown,75,5727,0.0833
kwallace,unknown,77,1085,0.1
opatel,unknown,20,9520,0.0833
julia85,unknown,64,4209,0.1538
frykerri,unknown,14,9269,0.1
allenmichelle,unknown,31,1412,0.1
shortheather,unknown,5,9563,0.087
caldwelldavid,unknown,67,9839,0.1
taylor37,unknown,35,3170,0.0625
jamessteele,unknown,46,6582,0.16
charlotte50,unknown,32,4745,0.1111
markferguson,unknown,84,8285,0.0952
williamsmary,unknown,99,8865,0.1111
hrojas,unknown,45,7836,0.08
anthony23,unknown,16,7467,0.1333
royrobert,unknown,45,5906,0.0909
ssolis,unknown,58,990,0.1429
qbenitez,unknown,42,8606,0.1111
kimberly64,unknown,62,2941,0.1
stephanie72,unknown,47,9489,0.087
griffindean,unknown,96,2898,0.1
hayeslynn,unknown,20,2225,0.0833
bullockthomas,unknown,3,7800,0.0909
michaelnorris,unknown,53,8059,0.125
colemandennis,unknown,71,3919,0.0741
davisgary,unknown,52,3980,0.069
weaverkimberly,unknown,21,3982,0.1333
marybaker,unknown,8,5671,0.1579
edgarconway,unknown,43,6094,0.0833
martinezmary,unknown,36,885,0.0909
hrodriguez,unknown,71,4242,0.1333
brady92,unknown,19,8291,0.1176
roberthayes,unknown,69,2286,0.069
millerarthur,unknown,25,6614,0.1111
joymartin,unknown,11,6543,0.0952
robertbishop,unknown,54,2745,0.1
crystalgonzales,unknown,2,3567,0.1364
yhart,unknown,21,6816,0.1176
qharrell,unknown,23,4785,0.1053
marktaylor,unknown,21,1506,0.087
john22,unknown,12,5187,0.1
william25,unknown,92,6053,0.0909
howellgloria,unknown,44,496,0.0909
vickiemartinez,unknown,93,5823,0.1538
benjamin45,unknown,70,5047,0.0952
zortega,unknown,67,1566,0.1176
donald78,unknown,78,217,0.0769
dianawright,unknown,97,6335,0.1176
cherylpruitt,unknown,21,8482,0.069
blanchardangela,unknown,20,9659,0.1111
megan74,unknown,53,2718,0.1176
allison84,unknown,46,1535,0.1176
peter80,unknown,33,772,0.1429
shawn82,unknown,57,3958,0.0714
ecohen,unknown,83,56,0.1053
stewartbryan,unknown,79,3218,0.1053
haynesandrew,unknown,16,6876,0.1333
veronica05,unknown,53,5037,0.1053
benitezlauren,unknown,45,8277,0.087
keith17,unknown,75,1678,0.0833
coxchristina,unknown,86,6936,0.1111
yallen,unknown,90,1973,0.125
olee,unknown,31,6097,0.1176
franklinandrew,unknown,86,1674,0.1111
chelsea99,unknown,51,6781,0.1667
wdaniel,unknown,45,1438,0.1176
tiffanywebb,unknown,93,1734,0.1053
glassashley,unknown,67,298,0.1429
cmcgrath,unknown,69,7704,0.0625
adamsbrianna,unknown,9,3612,0.1
charles31,unknown,42,218,0.1429
burtonshannon,unknown,97,9540,0.1176
wtodd,unknown,15,261,0.1667
rgonzalez,unknown,65,3858,0.1429
youngtracey,unknown,89,3277,0.0909
daniel88,unknown,53,7678,0.0909
hurstjonathan,unknown,25,395,0.0714
aliciabrown,unknown,100,9402,0.125
burnstiffany,unknown,71,7663,0.125
cohendana,unknown,58,369,0.0909
amyrussell,unknown,80,2908,0.1
timothy01,unknown,55,1976,0.1111
jon89,unknown,39,7775,0.1
cingram,unknown,43,4481,0.1
robertbarry,unknown,69,1103,0.0909
simmonsstephen,unknown,41,4649,0.0909
mvalencia,unknown,52,6149,0.0833
kscott,unknown,86,733,0.1333
heatherwilliams,unknown,97,4668,0.1176
biancagarrison,unknown,82,2813,0.1429
krichardson,unknown,59,2845,0.0952
weaversean,unknown,25,894,0.1538
valerie68,unknown,46,5924,0.1176
vfrey,unknown,64,9941,0.1053
kmoore,unknown,34,1452,0.2
lmontoya,unknown,85,5829,0.1053
dharris,unknown,22,155,0.1429
james63,unknown,49,289,0.08
traceyharrison,unknown,68,2042,0.1176
aross,unknown,67,3760,0.1053
laurarussell,unknown,6,1422,0.0909
andersonnicholas,unknown,95,7447,0.1111
matthewsaudrey,unknown,30,8921,0.1
woodsjessica,unknown,6,2349,0.0714
cantrelljocelyn,unknown,3,3373,0.0833
abigailscott,unknown,97,9888,0.0952
juan27,unknown,81,9995,0.2
jonesrussell,unknown,65,2039,0.0909
jordanlisa,unknown,35,7128,0.125
alisonibarra,unknown,5,6180,0.125
mark52,unknown,57,3733,0.1176
chrisdodson,unknown,40,825,0.1333
christinapowell,unknown,74,3809,0.0952
bryan45,unknown,75,427,0.087
larrypotter,unknown,51,9592,0.0909
trujillodebbie,unknown,13,5232,0.1176
flynndebbie,unknown,8,9538,0.0833
watsonrobert,unknown,66,3887,0.0952
melissa07,unknown,66,5987,0.1538
harold31,unknown,82,8007,0.1429
pmitchell,unknown,76,1229,0.1111
amykennedy,unknown,97,9895,0.1667
robinsonvictoria,unknown,92,5071,0.1333
cheyenne37,unknown,67,6536,0.1
lamballison,unknown,68,6183,0.125
david10,unknown,59,7786,0.0833
sandra71,unknown,25,9859,0.0833
marcus81,unknown,92,7677,0.1111
hornecarlos,unknown,96,6934,0.1111
nicholas25,unknown,93,1363,0.1
